Athlete ID,Name,Gender,Type,Country Code,Country Name,Native Language,Event Type,Event Name,Date of Birth,,,Medal ID,Medal Type,Medal Rank,Event Date,Opponent Name,,Game,,,,,Start Time,End Time,,,,Venue,Stadium
1532872,ALEKSANYAN Artur,Male,Athlete,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",21/10/1991,,,1903136,Gold Medal,1,27/07/2024,Remco EVENEPOEL,,Cycling Road,,,,,2024-07-24T15:00:00+02:00,2024-07-24T16:45:00+02:00,,,,Geoffroy-Guichard Stadium,"Geoffroy-Guichard Stadium, Saint-Etienne"
1532873,AMOYAN Malkhas,Male,Athlete,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 77kg""]",22/01/1999,,,1923520,Silver Medal,2,27/07/2024,Filippo GANNA,,Cycling Road,,,,,2024-07-24T15:00:00+02:00,2024-07-24T16:45:00+02:00,,,,Parc des Princes,"Parc des Princes, Paris"
1532874,GALSTYAN Slavik,Male,Athlete,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 67kg""]",21/12/1996,,,1903147,Bronze Medal,3,27/07/2024,Wout van AERT,,Cycling Road,,,,,2024-07-24T15:30:00+02:00,2024-07-24T15:46:00+02:00,,,,Stade de France,Stade de France
1532944,HARUTYUNYAN Arsen,Male,Athlete,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 57kg""]",22/11/1999,,,1940173,Gold Medal,1,27/07/2024,Grace BROWN,,Cycling Road,,,,,2024-07-24T16:00:00+02:00,2024-07-24T16:16:00+02:00,,,,Stade de France,Stade de France
1532945,TEVANYAN Vazgen,Male,Athlete,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 65kg""]",27/10/1999,,,1912525,Silver Medal,2,27/07/2024,Anna HENDERSON,,Cycling Road,,,,,2024-07-24T16:30:00+02:00,2024-07-24T16:46:00+02:00,,,,Stade de France,Stade de France
1532951,ARENAS Lorena,Female,Athlete,COL,Colombia,Colombia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",17/09/1993,,,1955079,Bronze Medal,3,27/07/2024,Chloe DYGERT,,Cycling Road,,,,,2024-07-24T17:00:00+02:00,2024-07-24T18:45:00+02:00,,,,Nice Stadium,"Nice Stadium, Nice"
1533112,McKENZIE Ashley,Male,Athlete,JAM,Jamaica,Jamaica,['Judo'],['Men -60 kg'],17/07/1989,,,DIVW3MTEAM2-CHN01,Gold Medal,1,27/07/2024,China,,Diving,,,,,2024-07-24T17:00:00+02:00,2024-07-24T18:45:00+02:00,,,,La Beaujoire Stadium,"La Beaujoire Stadium, Nantes"
1533136,BASS BITTAYE Gina Mariam,Female,Athlete,GAM,Gambia,Gambia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",3/5/1995,,,DIVW3MTEAM2-USA01,Silver Medal,2,27/07/2024,United States,,Diving,,,,,2024-07-24T17:00:00+02:00,2024-07-24T17:16:00+02:00,,,,Stade de France,Stade de France
1533176,CAMARA Ebrahima,Male,Athlete,GAM,Gambia,Gambia,['Athletics'],"[""Men's 100m""]",18/09/1996,,,DIVW3MTEAM2-GBR01,Bronze Medal,3,27/07/2024,Great Britain,,Diving,,,,,2024-07-24T17:30:00+02:00,2024-07-24T17:46:00+02:00,,,,Stade de France,Stade de France
1533188,RUEDA SANTOS Lizeth,Female,Athlete,MEX,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",7/3/1994,,,1927149,Gold Medal,1,27/07/2024,OH Sanguk,,Fencing,,,,,2024-07-24T18:00:00+02:00,2024-07-24T18:16:00+02:00,,,,Stade de France,Stade de France
